homeown_1.0,homeown_2.0,homeown_97.0,homeown_nan,income_1.0,income_2.0,income_3.0,income_4.0,income_5.0,income_nan,race_1.0,race_2.0,race_3.0,race_4.0,race_5.0,race_6.0,race_7.0,race_97.0,race_nan,lif_cyc_1.0,lif_cyc_2.0,lif_cyc_3.0,lif_cyc_4.0,lif_cyc_5.0,lif_cyc_6.0,lif_cyc_7.0,lif_cyc_8.0,lif_cyc_9.0,lif_cyc_10.0,lif_cyc_nan,urbrur_1.0,urbrur_2.0,urbrur_nan,htppopdn_50.0,htppopdn_300.0,htppopdn_750.0,htppopdn_1500.0,htppopdn_3000.0,htppopdn_7000.0,htppopdn_17000.0,htppopdn_30000.0,htppopdn_nan,location_Central,location_LA,location_North,location_SF,location_Sac,location_South,location_nan,vehmiles,hhvehcnt,hhsize,numadlt,drvrcnt,wrkcount
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3000.0,3.0,2.0,2.0,2.0,2.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,18000.0,2.0,1.0,1.0,1.0,0.0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3000.0,5.0,3.0,3.0,3.0,3.0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10981.74703410776,2.0,2.0,2.0,2.0,0.0
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10981.74703410776,2.0,1.0,1.0,1.0,1.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10981.74703410776,1.0,1.0,1.0,1.0,0.0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9000.0,4.0,4.0,2.0,2.0,1.0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6500.0,2.0,4.0,3.0,2.0,2.0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10981.74703410776,4.0,2.0,2.0,2.0,0.0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10000.0,3.0,5.0,4.0,4.0,3.0
